"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/5/2026","5/5/2026","5/5/2026","","Transfer from Brokerage to Brokerage","ITRF","","","($216.59)"
"5/5/2026","5/5/2026","5/6/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","2","$175.88","($351.75)"
"4/9/2026","4/9/2026","4/10/2026","","ACH Withdrawal","ACH","","","($2,000.00)"
"4/1/2026","4/1/2026","4/2/2026","AVGO","Broadcom
CUSIP: 11135F101
Dividend Reinvestment","Buy","1.815596","$312.90","($568.10)"
"3/31/2026","3/31/2026","3/31/2026","AVGO","Cash Div: R/D 2026-03-23 P/D 2026-03-31 - 874 shares at 0.65","CDIV","","","$568.10"
"2/6/2026","2/6/2026","2/6/2026","","ACAT In Bonus Interest Payment","ABIP","","","$2,568.34"
"2/6/2026","2/6/2026","2/6/2026","AVGO","Broadcom
CUSIP: 11135F101","ITRF","874","",""
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
