"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/24/2025","10/24/2025","10/27/2025","ORCL","Oracle
CUSIP: 68389X105
Dividend Reinvestment","Buy","0.001404","$284.81","($0.40)"
"10/23/2025","10/23/2025","10/23/2025","ORCL","Cash Div: R/D 2025-10-09 P/D 2025-10-23 - 0.791799 shares at 0.5","CDIV","","","$0.40"
"10/10/2025","10/10/2025","10/14/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.490268","$101.98","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.043782","$1,142.00","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.168962","$295.92","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.04069","$1,228.78","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.209486","$238.68","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.097228","$514.25","($50.00)"
"10/10/2025","10/10/2025","10/14/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.531665","$188.09","($100.00)"
"10/10/2025","10/10/2025","10/14/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.300093","$333.23","($100.00)"
"10/3/2025","10/3/2025","10/6/2025","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.000106","$188.63","($0.02)"
"10/2/2025","10/2/2025","10/2/2025","NVDA","Cash Div: R/D 2025-09-11 P/D 2025-10-02 - 2.396014 shares at 0.01","CDIV","","","$0.02"
"10/1/2025","10/1/2025","10/2/2025","AVGO","Broadcom
CUSIP: 11135F101
Dividend Reinvestment","Buy","0.002399","$329.18","($0.79)"
"10/1/2025","10/1/2025","10/2/2025","","ACH Deposit","ACH","","","$500.00"
"9/30/2025","9/30/2025","9/30/2025","AVGO","Cash Div: R/D 2025-09-22 P/D 2025-09-30 - 1.346557 shares at 0.59","CDIV","","","$0.79"
"9/29/2025","9/29/2025","9/30/2025","UNH","UnitedHealth
CUSIP: 91324P102","Buy","4.538195","$344.41","($1,563.00)"
"9/29/2025","9/29/2025","9/30/2025","UNH","UnitedHealth
CUSIP: 91324P102","Buy","10","$343.70","($3,437.00)"
"9/24/2025","9/24/2025","9/25/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Dividend Reinvestment","Buy","0.000642","$1,135.47","($0.73)"
"9/23/2025","9/23/2025","9/23/2025","BLK","Cash Div: R/D 2025-09-05 P/D 2025-09-23 - 0.139393 shares at 5.21","CDIV","","","$0.73"
"9/16/2025","9/16/2025","9/17/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.000678","$250.70","($0.17)"
"9/15/2025","9/15/2025","9/15/2025","GOOGL","Cash Div: R/D 2025-09-08 P/D 2025-09-15 - 0.828501 shares at 0.21","CDIV","","","$0.17"
"9/15/2025","9/15/2025","9/16/2025","UNH","UnitedHealth
CUSIP: 91324P102","Buy","14.259652","$350.70","($5,000.86)"
"9/15/2025","9/15/2025","9/15/2025","","Instant bank transfer - account ending in 6273","RTP","","","$1,000.00"
"9/15/2025","9/15/2025","9/16/2025","","ACH Deposit","ACH","","","$10,100.00"
"9/11/2025","9/11/2025","9/11/2025","MSFT","Cash Div: R/D 2025-08-21 P/D 2025-09-11 - 0.297104 shares at 0.83","CDIV","","","$0.25"
"9/10/2025","9/10/2025","9/11/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.493063","$101.41","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.045314","$1,103.39","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.150225","$332.83","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.039786","$1,256.69","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.207494","$240.97","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.099934","$500.33","($50.00)"
"9/10/2025","9/10/2025","9/11/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.561746","$178.02","($100.00)"
"9/10/2025","9/10/2025","9/11/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.275542","$362.92","($100.00)"
"9/2/2025","9/2/2025","9/2/2025","WMT","Cash Div: R/D 2025-08-15 P/D 2025-09-02 - 2.013948 shares at 0.235","CDIV","","","$0.47"
"9/2/2025","9/2/2025","9/3/2025","","ACH Deposit","ACH","","","$500.00"
"8/11/2025","8/11/2025","8/12/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.480357","$104.09","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.044231","$1,130.42","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.197581","$253.06","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.040905","$1,222.32","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.248917","$200.87","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.095328","$524.50","($50.00)"
"8/11/2025","8/11/2025","8/12/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.545821","$183.21","($100.00)"
"8/11/2025","8/11/2025","8/12/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.325254","$307.45","($100.00)"
"8/1/2025","8/1/2025","8/4/2025","","ACH Deposit","ACH","","","$500.00"
"7/24/2025","7/24/2025","7/24/2025","ORCL","Cash Div: R/D 2025-07-10 P/D 2025-07-24 - 0.2328 shares at 0.5","CDIV","","","$0.12"
"7/10/2025","7/10/2025","7/11/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.523231","$95.56","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.045332","$1,102.97","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.211193","$236.75","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.04","$1,249.98","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.281104","$177.87","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.099786","$501.07","($50.00)"
"7/10/2025","7/10/2025","7/11/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.609607","$164.04","($100.00)"
"7/10/2025","7/10/2025","7/11/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.364371","$274.44","($100.00)"
"7/1/2025","7/1/2025","7/2/2025","","ACH Deposit","ACH","","","$500.00"
"6/24/2025","6/24/2025","6/25/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101","Buy","0.04983","$1,003.29","($49.99)"
"6/24/2025","6/24/2025","6/25/2025","ORCL","Oracle
CUSIP: 68389X105","Buy","0.2328","$214.78","($50.00)"
"6/24/2025","6/24/2025","6/25/2025","NFLX","Netflix
CUSIP: 64110L106","Buy","0.03915","$1,276.93","($49.99)"
"6/24/2025","6/24/2025","6/25/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.29848","$167.51","($50.00)"
"6/24/2025","6/24/2025","6/25/2025","MSFT","Microsoft
CUSIP: 594918104","Buy","0.10199","$490.23","($50.00)"
"6/24/2025","6/24/2025","6/25/2025","","ACH Deposit","ACH","","","$50.00"
"6/24/2025","6/24/2025","6/25/2025","WMT","Walmart
CUSIP: 931142103","Buy","0.50526","$98.96","($50.00)"
"6/24/2025","6/24/2025","6/25/2025","WMT","Walmart
CUSIP: 931142103","Buy","0.5051","$98.99","($50.00)"
"6/24/2025","6/24/2025","6/25/2025","AVGO","Broadcom
CUSIP: 11135F101","Buy","0.38139","$262.20","($100.00)"
"6/24/2025","6/24/2025","6/25/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.67884","$147.31","($100.00)"
"6/23/2025","6/23/2025","6/24/2025","","ACH Deposit","ACH","","","$500.00"
"6/7/2023","6/7/2023","6/8/2023","","ACH Withdrawal","ACH","","","($100.00)"
"4/3/2023","4/3/2023","4/3/2023","","ACH Deposit","ACH","","","$100.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
