Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount
1/5/2026,Buy,WMT,931142103,"WALMART INC DIVIDEND REINVESTMENT",0.002,111.82443,0.0000,0.22
1/23/2026,Buy,ORCL,68389X105,"ORACLE CORP DIVIDEND REINVESTMENT",0.12,177.75322,0.0000,21.33
1/27/2026,Sell,ORCL,68389X105,"ORACLE CORP UNSOLICITED TRADE",43,174.9381,0.0000,7522.33
1/27/2026,Buy,ASML,N07059210,"ASML HOLDING NV NY REG NEW UNSOLICITED TRADE",2,1462.685,0.0000,2925.37
1/27/2026,Sell,ORCL,68389X105,"ORACLE CORP UNSOLICITED TRADE",0.12,174.94,0.0000,20.99
1/27/2026,Buy,RTX,75513E101,"RTX CORPORATION UNSOLICITED TRADE",10,201.6954,0.0000,2016.95
1/27/2026,Buy,ASTS,00217D100,"AST SPACEMOBILE INC CL A UNSOLICITED TRADE",9,111.4,0.0000,1002.6
1/27/2026,Buy,GOLD,00181T107,"GOLD.COM INC UNSOLICITED TRADE",10,51.4576,0.0000,514.58
1/27/2026,Buy,COPX,37954Y830,"GLOBAL X COPPER MINERS ETF UNSOLICITED TRADE",12,89.7799,0.0000,1077.36

